date,ts,symbol,price,pct_change,volume
2025-11-04,2025-11-04T07:12:57,BITF,4.11,3.52645,116862012
2025-11-04,2025-11-04T07:12:57,UWMC,5.85,3.90763,10194730
2025-11-04,2025-11-04T07:15:58,BITF,4.11,3.52645,116862012
2025-11-04,2025-11-04T07:15:58,UWMC,5.85,3.90763,10194730
2025-11-04,2025-11-04T07:21:24,KVUE,16.14,0.61881423,190293813
2025-11-04,2025-11-04T07:21:24,HIMS,44.39,2.7039223,38275325
2025-11-04,2025-11-04T07:21:24,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:21:24,HCM,15.31,2.4820323,57828
2025-11-04,2025-11-04T07:21:24,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:24:25,KVUE,16.14,0.61881423,190293813
2025-11-04,2025-11-04T07:24:25,HIMS,44.39,2.501128,38275325
2025-11-04,2025-11-04T07:24:25,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:24:25,HCM,15.31,2.4820323,57828
2025-11-04,2025-11-04T07:24:25,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:27:26,KVUE,16.14,0.68193614,190293813
2025-11-04,2025-11-04T07:27:26,HIMS,44.39,1.8476784,38275325
2025-11-04,2025-11-04T07:27:26,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:27:26,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:27:26,HCM,15.31,1.4369648,57828
2025-11-04,2025-11-04T07:30:27,KVUE,16.14,0.7419539,190293813
2025-11-04,2025-11-04T07:30:27,HIMS,44.39,2.2757962,38275325
2025-11-04,2025-11-04T07:30:27,KDP,26.64,0.60060006,19330040
2025-11-04,2025-11-04T07:30:27,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:30:27,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:33:28,KVUE,16.14,0.8044621,190293813
2025-11-04,2025-11-04T07:33:28,HIMS,44.39,3.6277616,38275325
2025-11-04,2025-11-04T07:33:28,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:33:28,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:33:28,HCM,15.31,1.4369648,57828
2025-11-04,2025-11-04T07:36:29,KVUE,16.14,0.7945594,190293813
2025-11-04,2025-11-04T07:36:29,HIMS,44.39,3.0664647,38275325
2025-11-04,2025-11-04T07:36:29,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:36:29,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:36:29,HCM,15.31,1.4369648,57828
2025-11-04,2025-11-04T07:39:30,KVUE,16.14,0.61881423,190293813
2025-11-04,2025-11-04T07:39:30,HIMS,44.39,3.1777768,38275325
2025-11-04,2025-11-04T07:39:30,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:39:30,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:39:30,HCM,15.31,1.4369648,57828
2025-11-04,2025-11-04T07:42:31,HIMS,44.39,3.5826952,38275325
2025-11-04,2025-11-04T07:42:31,KDP,26.64,0.5255304,19330040
2025-11-04,2025-11-04T07:42:31,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:42:31,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:42:31,HCM,15.31,1.4369648,57828
2025-11-04,2025-11-04T07:45:32,KVUE,16.14,0.54393667,190293813
2025-11-04,2025-11-04T07:45:32,HIMS,44.39,3.289768,38275325
2025-11-04,2025-11-04T07:45:32,KDP,26.64,0.5630688,19330040
2025-11-04,2025-11-04T07:45:32,DBRG,12.46,0.7223126,5147239
2025-11-04,2025-11-04T07:45:32,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:48:33,HIMS,44.39,2.8616505,38275325
2025-11-04,2025-11-04T07:48:33,KDP,26.64,0.5630688,19330040
2025-11-04,2025-11-04T07:48:33,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:48:33,HCM,15.31,1.5676013,57828
2025-11-04,2025-11-04T07:51:34,KVUE,16.14,0.5569316,190293813
2025-11-04,2025-11-04T07:51:34,HIMS,44.39,3.289768,38275325
2025-11-04,2025-11-04T07:51:34,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:51:34,HCM,15.31,1.7472235,57828
2025-11-04,2025-11-04T07:54:36,KVUE,16.14,0.624999,190293813
2025-11-04,2025-11-04T07:54:36,HIMS,44.39,3.447496,38275325
2025-11-04,2025-11-04T07:54:36,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:54:36,HCM,15.31,1.7472235,57828
2025-11-04,2025-11-04T07:54:36,BKV,24.45,0.61349535,730228
2025-11-04,2025-11-04T07:57:37,KVUE,16.14,0.74257946,190293813
2025-11-04,2025-11-04T07:57:37,HIMS,44.39,3.1996353,38275325
2025-11-04,2025-11-04T07:57:37,KDP,26.64,0.60060006,19330040
2025-11-04,2025-11-04T07:57:37,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T07:57:37,HCM,15.31,1.7472235,57828
2025-11-04,2025-11-04T08:00:38,KVUE,16.14,0.5569316,190293813
2025-11-04,2025-11-04T08:00:38,HIMS,44.39,3.2221727,38275325
2025-11-04,2025-11-04T08:00:38,KDP,26.64,0.9759769,19330040
2025-11-04,2025-11-04T08:00:38,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T08:00:38,HCM,15.31,1.7472235,57828
2025-11-04,2025-11-04T08:03:39,KVUE,16.14,0.61881423,190293813
2025-11-04,2025-11-04T08:03:39,HIMS,44.39,3.3122969,38275325
2025-11-04,2025-11-04T08:03:39,CMCSA,26.98,0.59303135,38102893
2025-11-04,2025-11-04T08:03:39,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T08:03:39,HCM,15.31,1.7472235,57828
2025-11-04,2025-11-04T08:06:41,KVUE,16.14,0.61881423,190293813
2025-11-04,2025-11-04T08:06:41,HIMS,44.39,3.9657464,38275325
2025-11-04,2025-11-04T08:06:41,KDP,26.64,0.6381384,19330040
2025-11-04,2025-11-04T08:06:41,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T08:06:41,HCM,15.31,1.7472235,57828
2025-11-04,2025-11-04T08:09:42,KVUE,16.14,0.5569316,190293813
2025-11-04,2025-11-04T08:09:42,HIMS,44.39,4.1234746,38275325
2025-11-04,2025-11-04T08:09:42,KDP,26.64,0.6381384,19330040
2025-11-04,2025-11-04T08:09:42,CVI,36.81,1.7386563,1202348
2025-11-04,2025-11-04T08:09:42,HCM,15.31,1.7472235,57828
2025-11-04,2025-11-04T08:12:43,KVUE,16.14,0.5569316,190293813
2025-11-04,2025-11-04T08:12:43,HIMS,44.39,4.0784082,38275325
2025-11-04,2025-11-04T08:12:43,CMCSA,26.98,0.6300967,38102893
2025-11-04,2025-11-04T08:12:43,ABEV,2.35,0.6157071,30176195
2025-11-04,2025-11-04T08:12:43,KDP,26.64,0.6381384,19330040
2025-11-04,2025-11-04T08:15:44,HIMS,44.39,2.2307296,38275325
2025-11-04,2025-11-04T08:15:44,CMCSA,26.98,0.667162,38102893
2025-11-04,2025-11-04T08:15:44,ABEV,2.35,0.6157071,30176195
2025-11-04,2025-11-04T08:15:44,KDP,26.64,0.9759769,19330040
2025-11-04,2025-11-04T08:15:44,BKV,24.45,0.61349535,730228
2025-11-04,2025-11-04T08:32:14,UPWK,18.18,16.31478,787503
2025-11-04,2025-11-04T08:34:15,UPWK,18.115,16.00644,1069822
2025-11-04,2025-11-04T08:36:16,UPWK,18.235,16.66667,1204327
2025-11-04,2025-11-04T08:38:17,UPWK,18.44,17.978249,1448638
2025-11-04,2025-11-04T08:38:17,AUPH,15.36,16.628698,575959
2025-11-04,2025-11-04T08:38:17,SGHC,11.79,11.647722,583176
2025-11-04,2025-11-04T08:40:18,UPWK,18.295,17.050543,1624326
2025-11-04,2025-11-04T08:40:18,AUPH,15.203,15.436599,671342
2025-11-04,2025-11-04T08:40:18,SGHC,11.8399,12.120261,614049
2025-11-04,2025-11-04T08:42:19,GT,7.24,5.079825,3861925
2025-11-04,2025-11-04T08:42:19,UPWK,17.875,14.363402,1729354
2025-11-04,2025-11-04T08:42:19,AUPH,15.5099,17.766895,746555
2025-11-04,2025-11-04T08:42:19,SGHC,11.89,12.594696,746196
2025-11-04,2025-11-04T08:42:19,FOLD,9.31,5.0790157,697373
2025-11-04,2025-11-04T08:44:21,GT,7.32,6.2409334,4030711
2025-11-04,2025-11-04T08:44:21,UPWK,17.815,14.019894,1804649
2025-11-04,2025-11-04T08:44:21,AUPH,15.73,19.438112,856499
2025-11-04,2025-11-04T08:44:21,SGHC,11.81,11.837121,765121
2025-11-04,2025-11-04T08:44:21,FOLD,9.41,6.2076774,753455
2025-11-04,2025-11-04T08:46:22,GT,7.26,5.370107,4398973
2025-11-04,2025-11-04T08:46:22,UPWK,17.1785,9.907224,1965684
2025-11-04,2025-11-04T08:46:22,AUPH,15.63,18.678816,929892
2025-11-04,2025-11-04T08:46:22,SGHC,11.78,11.553023,807085
2025-11-04,2025-11-04T08:46:22,FOLD,9.39,5.9887085,928006
2025-11-04,2025-11-04T08:48:23,UPWK,17.4,11.324373,2059522
2025-11-04,2025-11-04T08:48:23,AUPH,15.87,20.501137,1144278
2025-11-04,2025-11-04T08:48:23,FOLD,9.46,6.7720137,1004336
2025-11-04,2025-11-04T08:48:23,SGHC,11.69,10.700749,857370
2025-11-04,2025-11-04T08:50:25,GT,7.455,8.1943445,5229146
2025-11-04,2025-11-04T08:50:25,UPWK,17.13,9.652503,2267619
2025-11-04,2025-11-04T08:50:25,AUPH,16.01,21.596958,1299315
2025-11-04,2025-11-04T08:50:25,SGHC,11.895,12.642045,912576
2025-11-04,2025-11-04T08:50:25,FOLD,9.4601,6.765584,1144969
2025-11-04,2025-11-04T08:52:26,ONDS,6.485,5.451587,9931731
2025-11-04,2025-11-04T08:52:26,GT,7.41,7.54717,5472422
2025-11-04,2025-11-04T08:52:26,AUPH,15.3,16.222393,1463391
2025-11-04,2025-11-04T08:52:26,UPWK,17.12,9.532954,2328730
2025-11-04,2025-11-04T08:52:26,SGHC,11.86,12.310598,1031003
2025-11-04,2025-11-04T08:54:27,ONDS,6.5272,6.1404243,10935840
2025-11-04,2025-11-04T08:54:27,FUBO,3.675,6.478528,5532788
2025-11-04,2025-11-04T08:54:27,AUPH,15.276,16.010338,1592013
2025-11-04,2025-11-04T08:54:27,UPWK,16.96,8.50927,2400943
2025-11-04,2025-11-04T08:54:27,SGHC,11.83,12.02651,1069461
2025-11-04,2025-11-04T08:56:29,HTZ,6.4598,30.816952,26434180
2025-11-04,2025-11-04T08:56:29,ONDS,6.485,5.447155,11749000
2025-11-04,2025-11-04T08:56:29,GT,7.2599,5.376144,6077533
2025-11-04,2025-11-04T08:56:29,FUBO,3.64,5.4565463,5724442
2025-11-04,2025-11-04T08:56:29,UPWK,16.96,8.50927,2455884
2025-11-04,2025-11-04T08:58:30,HTZ,6.5015,31.609314,27823858
2025-11-04,2025-11-04T08:58:30,ONDS,6.48,5.3658524,12406142
2025-11-04,2025-11-04T08:58:30,GT,7.34,6.531209,6141430
2025-11-04,2025-11-04T08:58:30,FUBO,3.625,5.030717,6017790
2025-11-04,2025-11-04T08:58:30,UPWK,16.9691,8.567504,2506732
2025-11-04,2025-11-04T09:00:31,HTZ,6.7,35.627525,29517605
2025-11-04,2025-11-04T09:00:31,ONDS,6.475,5.2845497,12889930
2025-11-04,2025-11-04T09:00:31,GT,7.355,6.748914,6311830
2025-11-04,2025-11-04T09:00:31,UPWK,17.0,8.765194,2576307
2025-11-04,2025-11-04T09:00:31,SGHC,11.69,10.700749,1255117
2025-11-04,2025-11-04T09:02:32,HTZ,6.575,33.13069,31482800
2025-11-04,2025-11-04T09:02:32,GT,7.39,7.256894,6459194
2025-11-04,2025-11-04T09:02:32,FUBO,3.6601,5.775057,6423837
2025-11-04,2025-11-04T09:02:32,SGHC,11.745,11.221585,1283083
2025-11-04,2025-11-04T09:02:32,UPWK,16.76,7.234316,2611256
2025-11-04,2025-11-04T12:55:11,HTZ,6.8578,38.82186,105717381
2025-11-04,2025-11-04T12:55:11,FUBO,3.69,6.6587543,20312941
2025-11-04,2025-11-04T12:55:11,COMP,8.475,8.933164,13927014
2025-11-04,2025-11-04T12:55:11,SGHC,12.15,15.05681,3744345
2025-11-04,2025-11-04T12:55:11,GT,7.41,7.54717,14759793
2025-11-04,2025-11-04T12:57:12,HTZ,6.85,38.663963,106111470
2025-11-04,2025-11-04T12:57:12,FUBO,3.6865,6.550788,20334544
2025-11-04,2025-11-04T12:57:12,COMP,8.4298,8.362717,14060284
2025-11-04,2025-11-04T12:57:12,SGHC,12.125,14.820071,3750520
2025-11-04,2025-11-04T12:57:12,GT,7.42,7.6923113,14795646
2025-11-04,2025-11-04T12:59:14,HTZ,6.845,38.562748,106391548
2025-11-04,2025-11-04T12:59:14,FUBO,3.685,6.500445,20378628
2025-11-04,2025-11-04T12:59:14,COMP,8.455,8.676088,14098375
2025-11-04,2025-11-04T12:59:14,GT,7.4385,7.9590807,15041109
2025-11-04,2025-11-04T12:59:14,SGHC,12.11,14.678022,3762448
2025-11-04,2025-11-04T13:01:15,HTZ,6.8099,37.889805,107056056
2025-11-04,2025-11-04T13:01:15,FUBO,3.665,5.9248533,20476969
2025-11-04,2025-11-04T13:01:15,COMP,8.485,9.061689,14505104
2025-11-04,2025-11-04T13:01:15,GT,7.4297,7.8384385,15054804
2025-11-04,2025-11-04T13:01:15,SGHC,12.08,14.393934,3774420
2025-11-04,2025-11-04T13:03:17,HTZ,6.795,37.56201,107359985
2025-11-04,2025-11-04T13:03:17,FUBO,3.66,5.772007,20514422
2025-11-04,2025-11-04T13:03:17,COMP,8.475,8.933164,14557960
2025-11-04,2025-11-04T13:03:17,GT,7.395,7.329465,15100276
2025-11-04,2025-11-04T13:03:17,SGHC,12.075,14.346584,3780250
2025-11-04,2025-11-04T13:04:03,HTZ,6.835,38.360325,107615666
2025-11-04,2025-11-04T13:04:03,FUBO,3.67,6.078149,20536507
2025-11-04,2025-11-04T13:04:03,COMP,8.4713,8.885603,14563378
2025-11-04,2025-11-04T13:04:03,GT,7.395,7.329465,15126239
2025-11-04,2025-11-04T13:04:03,SGHC,12.07,14.299234,3786794
2025-11-04,2025-11-04T13:06:04,HTZ,6.795,37.550606,107850356
2025-11-04,2025-11-04T13:06:04,FUBO,3.665,5.9248533,20578667
2025-11-04,2025-11-04T13:06:04,COMP,8.465,8.804626,14666324
2025-11-04,2025-11-04T13:06:04,SGHC,12.16,15.151508,3802893
2025-11-04,2025-11-04T13:06:04,GT,7.395,7.329465,15157882
2025-11-04,2025-11-04T13:08:06,HTZ,6.813,37.91498,109463705
2025-11-04,2025-11-04T13:08:06,FUBO,3.68,6.3583827,20748187
2025-11-04,2025-11-04T13:08:06,COMP,8.475,8.921697,14767157
2025-11-04,2025-11-04T13:08:06,SGHC,12.145,15.009469,3812947
2025-11-04,2025-11-04T13:08:06,GT,7.385,7.184331,15180231
2025-11-04,2025-11-04T13:10:21,HTZ,6.835,38.360325,109764127
2025-11-04,2025-11-04T13:10:21,FUBO,3.685,6.506648,20935908
2025-11-04,2025-11-04T13:10:21,COMP,8.475,8.933164,14846007
2025-11-04,2025-11-04T13:10:21,SGHC,12.13,14.867421,3821678
2025-11-04,2025-11-04T13:10:21,GT,7.375,7.03919,15217662
2025-11-04,2025-11-04T13:12:22,HTZ,6.84,38.450645,109954767
2025-11-04,2025-11-04T13:12:22,FUBO,3.685,6.5032635,20944352
2025-11-04,2025-11-04T13:12:22,COMP,8.485,9.061689,15037877
2025-11-04,2025-11-04T13:12:22,SGHC,12.11,14.678022,3837421
2025-11-04,2025-11-04T13:12:22,GT,7.38,7.1117597,15246554
2025-11-04,2025-11-04T13:14:23,HTZ,6.855,38.765182,110128633
2025-11-04,2025-11-04T13:14:23,FUBO,3.685,6.5028872,20986745
2025-11-04,2025-11-04T13:14:23,COMP,8.49,9.1259575,15128095
2025-11-04,2025-11-04T13:14:23,SGHC,12.14,14.962121,3845397
2025-11-04,2025-11-04T13:14:23,GT,7.385,7.184331,15290331
2025-11-04,2025-11-04T13:16:24,HTZ,6.975,41.19433,111307264
2025-11-04,2025-11-04T13:16:24,FUBO,3.685,6.5028872,21003679
2025-11-04,2025-11-04T13:16:24,COMP,8.5004,9.25416,15209002
2025-11-04,2025-11-04T13:16:24,SGHC,12.195,15.482946,3862897
2025-11-04,2025-11-04T13:16:24,GT,7.385,7.184331,15305355
2025-11-04,2025-11-04T13:16:45,HTZ,6.935,40.384613,111397452
2025-11-04,2025-11-04T13:16:45,FUBO,3.685,6.5028872,21020327
2025-11-04,2025-11-04T13:16:45,COMP,8.505,9.324758,15389093
2025-11-04,2025-11-04T13:16:45,SGHC,12.19,15.435596,3867074
2025-11-04,2025-11-04T13:16:45,GT,7.385,7.184331,15307203
